date,home,away,goals_home,goals_away,season,delta,year,home__val,away__val,home__scored,home__suffered,home__delta_minus_1,home__delta_minus_2,home__delta_minus_3,home__delta_minus_4,home__avg_scored_3,home__avg_suffered_3,home__avg_scored_5,home__avg_suffered_5,away__scored,away__suffered,away__delta_minus_1,away__delta_minus_2,away__delta_minus_3,away__delta_minus_4,away__avg_scored_3,away__avg_suffered_3,away__avg_scored_5,away__avg_suffered_5
2019-08-17,Moreirense,Gil Vicente,3,0,2019,3,2019,11050,5550,3,0,3,0,0,0,0.0,1.6666666666666665,0.0,1.2,0,3,-3,1,1,0,1.3333333333333333,1.6666666666666665,0.0,1.7999999999999998
2019-08-17,Moreirense,Gil Vicente,3,0,2019,3,2019,11050,5550,3,0,3,0,0,0,0.0,1.6666666666666665,0.0,1.2,0,3,1,1,0,0,0.0,1.3333333333333333,0.0,1.6
2019-08-17,Moreirense,Gil Vicente,3,0,2019,3,2019,11050,5550,3,0,0,0,0,0,0.0,1.9999999999999998,0.0,2.0,0,3,-3,1,1,0,1.3333333333333333,1.6666666666666665,0.0,1.7999999999999998
2019-08-17,Moreirense,Gil Vicente,3,0,2019,3,2019,11050,5550,3,0,0,0,0,0,0.0,1.9999999999999998,0.0,2.0,0,3,1,1,0,0,0.0,1.3333333333333333,0.0,1.6
2019-08-17,Belenenses SAD,Benfica,0,2,2019,-2,2019,11200,314700,0,2,-2,0,0,0,0.0,0.6666666666666666,0.0,1.4,2,0,2,5,5,0,3.9999999999999996,0.0,0.0,0.6000000000000001
2019-08-17,Belenenses SAD,Benfica,0,2,2019,-2,2019,11200,314700,0,2,-2,0,0,0,0.0,0.6666666666666666,0.0,1.4,2,0,5,5,0,0,0.0,0.3333333333333333,0.0,0.8
2019-08-17,Belenenses SAD,Benfica,0,2,2019,-2,2019,11200,314700,0,2,0,0,0,0,0.0,0.0,0.0,2.6,2,0,2,5,5,0,3.9999999999999996,0.0,0.0,0.6000000000000001
2019-08-17,Belenenses SAD,Benfica,0,2,2019,-2,2019,11200,314700,0,2,0,0,0,0,0.0,0.0,0.0,2.6,2,0,5,5,0,0,0.0,0.3333333333333333,0.0,0.8
2019-08-17,FC Porto,Vitória Setúbal,4,0,2019,4,2019,256750,12480,4,0,4,-1,-1,0,1.9999999999999998,1.3333333333333333,0.0,1.0,0,4,-4,0,0,0,0.0,1.3333333333333333,0.0,1.6
2019-08-17,FC Porto,Vitória Setúbal,4,0,2019,4,2019,256750,12480,4,0,4,-1,-1,0,1.9999999999999998,1.3333333333333333,0.0,1.0,0,4,0,0,0,0,0.0,1.0,0.0,1.4000000000000001
2019-08-17,FC Porto,Vitória Setúbal,4,0,2019,4,2019,256750,12480,4,0,-1,-1,0,0,0.0,1.6666666666666665,0.0,1.0,0,4,-4,0,0,0,0.0,1.3333333333333333,0.0,1.6
2019-08-17,FC Porto,Vitória Setúbal,4,0,2019,4,2019,256750,12480,4,0,-1,-1,0,0,0.0,1.6666666666666665,0.0,1.0,0,4,0,0,0,0,0.0,1.0,0.0,1.4000000000000001
